Model,CV Accuracy (mean),CV Std,Test Accuracy,Test F1,Test ROC-AUC,Test Precision,Test Recall
Logistic Regression,0.8215986394557824,0.02099944191382962,0.8032786885245902,0.8235294117647058,0.8712121212121212,0.8,0.8484848484848485
Random Forest,0.8172619047619047,0.03401721919578461,0.7540983606557377,0.7761194029850746,0.8587662337662337,0.7647058823529411,0.7878787878787878
SVM,0.8131802721088436,0.03273930998718152,0.7704918032786885,0.7941176470588235,0.841991341991342,0.7714285714285715,0.8181818181818182
KNN,0.8092687074829932,0.03956375971036325,0.7868852459016393,0.8115942028985508,0.8376623376623378,0.7777777777777778,0.8484848484848485
XGBoost,0.8048469387755102,0.025817312413394664,0.7213114754098361,0.746268656716418,0.8322510822510822,0.7352941176470589,0.7575757575757576
Decision Tree,0.7719387755102042,0.056669029807566246,0.7704918032786885,0.78125,0.8317099567099568,0.8064516129032258,0.7575757575757576
