Model,Test Accuracy,Test F1,Test ROC-AUC,Tip
KNN,0.8688524590163934,0.8823529411764706,0.9058441558441557,Optimize
Voting (Soft),0.819672131147541,0.8405797101449275,0.9036796536796536,Ensemble
Stacking,0.8360655737704918,0.8484848484848485,0.9025974025974026,Ensemble
Bagging,0.8360655737704918,0.8529411764705882,0.899891774891775,Ensemble
Logistic Regression,0.8032786885245902,0.8235294117647058,0.880952380952381,Optimize
SVM,0.8032786885245902,0.8285714285714286,0.8809523809523809,Optimize
Random Forest,0.7704918032786885,0.7878787878787878,0.8582251082251082,Optimize
XGBoost,0.7377049180327869,0.7575757575757576,0.8354978354978355,Optimize
Decision Tree,0.7049180327868853,0.7272727272727273,0.7970779220779222,Optimize
