Model,Test Accuracy,Test F1,Test ROC-AUC
Voting (Soft),0.819672131147541,0.8405797101449275,0.9036796536796536
Stacking,0.8360655737704918,0.8484848484848485,0.9025974025974026
Bagging,0.8360655737704918,0.8529411764705882,0.899891774891775
